dataset,preprocessing,feature_dimension,split,depth,optimizer,beta,status,logpdf_standardized,logpdf,rmse,paper_dvi,error
concrete,multiscale_matern32_linear,1000,2,2,vector_transport,0.8,ok,-0.11155271038856485,-2.937285104315311,5.691426815366591,-3.06,
concrete,multiscale_matern32_linear,1000,3,2,vector_transport,0.8,ok,-0.09188989587170825,-2.912024416228394,5.9777426432863505,-3.06,
concrete,multiscale_matern32_linear,1000,4,2,vector_transport,0.8,ok,-0.09084927238556657,-2.8970503216923387,5.516316511678481,-3.06,
concrete,multiscale_matern32_linear,1000,5,2,vector_transport,0.8,ok,-0.35643325256284697,-3.168966699811157,8.080559672436074,-3.06,
concrete,multiscale_matern32_linear,1000,6,2,vector_transport,0.8,ok,-0.15258566395177023,-2.9692896692860495,5.832395902170234,-3.06,
concrete,multiscale_matern32_linear,1000,7,2,vector_transport,0.8,ok,-0.26497362273470354,-3.08140205161167,6.66278890567226,-3.06,
concrete,multiscale_matern32_linear,1000,8,2,vector_transport,0.8,ok,-0.20362447403455802,-3.0245336273582226,5.906317245003953,-3.06,
concrete,multiscale_matern32_linear,1000,9,2,vector_transport,0.8,ok,-0.016455479395184932,-2.825929542024934,5.0130107941129305,-3.06,
concrete,multiscale_matern32_linear,1000,10,2,vector_transport,0.8,ok,-0.1514489647623802,-2.9724996655168905,5.739394864009402,-3.06,
concrete,multiscale_matern32_linear,1000,11,2,vector_transport,0.8,ok,-0.028110360818374484,-2.838589648748962,4.738560853964997,-3.06,
concrete,multiscale_matern32_linear,1000,12,2,vector_transport,0.8,ok,-0.14389871343032287,-2.9536792909430374,5.82241423200239,-3.06,
concrete,multiscale_matern32_linear,1000,13,2,vector_transport,0.8,ok,-0.1794935757404934,-3.001787069002852,6.430863715982888,-3.06,
concrete,multiscale_matern32_linear,1000,14,2,vector_transport,0.8,ok,-0.15000738702659006,-2.9724132055108927,5.96095332330083,-3.06,
concrete,multiscale_matern32_linear,1000,15,2,vector_transport,0.8,ok,-0.21812517148706734,-3.0370501005065145,6.546929916320153,-3.06,
concrete,multiscale_matern32_linear,1000,16,2,vector_transport,0.8,ok,-0.1745432014320141,-2.980619897758051,6.892750713560454,-3.06,
concrete,multiscale_matern32_linear,1000,17,2,vector_transport,0.8,ok,-0.0587046529629066,-2.8810503355181982,5.540372341993825,-3.06,
concrete,multiscale_matern32_linear,1000,18,2,vector_transport,0.8,ok,-0.3222744531942354,-3.129140571400722,6.9341682142167045,-3.06,
concrete,multiscale_matern32_linear,1000,19,2,vector_transport,0.8,ok,-0.0700785775408514,-2.892164090424752,6.014658114064005,-3.06,
concrete,multiscale_matern32_linear,1000,20,2,vector_transport,0.8,ok,-0.25995176195956765,-3.0779669581938056,6.459197382928896,-3.06,
wine,multiscale_matern32_linear,1000,1,2,vector_transport,0.8,ok,-1.1365288488285885,-0.9269026540705332,0.6400695931326713,-0.9,
wine,multiscale_matern32_linear,1000,2,2,vector_transport,0.8,ok,-1.204198189965602,-0.9898452922523535,0.6905521285003414,-0.9,
wine,multiscale_matern32_linear,1000,3,2,vector_transport,0.8,ok,-1.0575692557288823,-0.8482479733014524,0.5849859075894447,-0.9,
wine,multiscale_matern32_linear,1000,4,2,vector_transport,0.8,ok,-1.2117476407416237,-1.0015014967796851,0.6684711560918445,-0.9,
wine,multiscale_matern32_linear,1000,5,2,vector_transport,0.8,ok,-1.2024211171478625,-0.9806866656804049,0.6642138844274655,-0.9,
wine,multiscale_matern32_linear,1000,6,2,vector_transport,0.8,ok,-1.1226879367559284,-0.9171795819660584,0.6162397756648982,-0.9,
wine,multiscale_matern32_linear,1000,7,2,vector_transport,0.8,ok,-1.2082961414350601,-0.987861128361323,0.6960188079519896,-0.9,
wine,multiscale_matern32_linear,1000,8,2,vector_transport,0.8,ok,-1.17148964169203,-0.9610970392640027,0.6616572683902165,-0.9,
wine,multiscale_matern32_linear,1000,9,2,vector_transport,0.8,ok,-1.1980245769816744,-0.9809764033376323,0.6725208400840158,-0.9,
wine,multiscale_matern32_linear,1000,10,2,vector_transport,0.8,ok,-1.2920885362113665,-1.083190149499281,0.7102470017440492,-0.9,
wine,multiscale_matern32_linear,1000,11,2,vector_transport,0.8,ok,-1.1352822011441317,-0.9271677211163496,0.6143917117729055,-0.9,
wine,multiscale_matern32_linear,1000,12,2,vector_transport,0.8,ok,-1.1368297309826014,-0.9209639705628017,0.631141965254905,-0.9,
wine,multiscale_matern32_linear,1000,13,2,vector_transport,0.8,ok,-1.1702389739648815,-0.956465931753175,0.6612938985621009,-0.9,
wine,multiscale_matern32_linear,1000,14,2,vector_transport,0.8,ok,-1.0962444597875218,-0.8791962861434797,0.625483883424398,-0.9,
wine,multiscale_matern32_linear,1000,15,2,vector_transport,0.8,ok,-1.0621983953886007,-0.8518977944946823,0.5988020083340365,-0.9,
wine,multiscale_matern32_linear,1000,16,2,vector_transport,0.8,ok,-1.2574309905939816,-1.0400410580273958,0.6951586437252754,-0.9,
wine,multiscale_matern32_linear,1000,17,2,vector_transport,0.8,ok,-1.0626286960909386,-0.8490616298526024,0.5917438236882043,-0.9,
wine,multiscale_matern32_linear,1000,18,2,vector_transport,0.8,ok,-1.1718703272774658,-0.9604188574929335,0.7083305032656949,-0.9,
wine,multiscale_matern32_linear,1000,19,2,vector_transport,0.8,ok,-1.2575379984454647,-1.0419690783588396,0.7253736179610613,-0.9,
wine,multiscale_matern32_linear,1000,20,2,vector_transport,0.8,ok,-1.2544720241197997,-1.039688619792462,0.7068349711642032,-0.9,
power,multiscale_matern32_linear,1000,1,2,vector_transport,0.8,ok,0.021314638870558043,-2.816233839695735,4.030005475700617,-2.8,
power,multiscale_matern32_linear,1000,2,2,vector_transport,0.8,ok,0.10553719476946845,-2.7343761052728786,3.8814139734087014,-2.8,
power,multiscale_matern32_linear,1000,3,2,vector_transport,0.8,ok,0.10339515520710102,-2.73474074092695,3.9488774082893543,-2.8,
power,multiscale_matern32_linear,1000,4,2,vector_transport,0.8,ok,0.029417996933879052,-2.8088081633963102,4.17556520192644,-2.8,
power,multiscale_matern32_linear,1000,5,2,vector_transport,0.8,ok,0.09745942605574708,-2.73578897326291,3.8408205729069667,-2.8,
power,multiscale_matern32_linear,1000,6,2,vector_transport,0.8,ok,-0.025693797912007262,-2.8611220731953324,4.240105074217961,-2.8,
power,multiscale_matern32_linear,1000,7,2,vector_transport,0.8,ok,0.11312500403076839,-2.725726590985479,3.8112784184132207,-2.8,
power,multiscale_matern32_linear,1000,8,2,vector_transport,0.8,ok,0.06137298770517914,-2.7748426213519775,4.049970597487248,-2.8,
power,multiscale_matern32_linear,1000,9,2,vector_transport,0.8,ok,0.11283187617561899,-2.727067155612688,3.806373596468623,-2.8,
power,multiscale_matern32_linear,1000,10,2,vector_transport,0.8,ok,0.0698082486018892,-2.7678568858831274,3.9253810023329727,-2.8,
power,multiscale_matern32_linear,1000,11,2,vector_transport,0.8,ok,0.16780838768810294,-2.669634813996125,3.69246838466159,-2.8,
power,multiscale_matern32_linear,1000,12,2,vector_transport,0.8,ok,0.10483268033667735,-2.734344202401419,3.865880681710523,-2.8,
power,multiscale_matern32_linear,1000,13,2,vector_transport,0.8,ok,-0.004585637420758567,-2.8433808056306766,4.230350460477238,-2.8,
power,multiscale_matern32_linear,1000,14,2,vector_transport,0.8,ok,0.13256900581088196,-2.703115913562202,3.787893140405219,-2.8,
power,multiscale_matern32_linear,1000,15,2,vector_transport,0.8,ok,0.047607072880124945,-2.792139449537397,3.9378295335048628,-2.8,
power,multiscale_matern32_linear,1000,16,2,vector_transport,0.8,ok,0.058448269750724896,-2.777894799465984,3.960478777033325,-2.8,
power,multiscale_matern32_linear,1000,17,2,vector_transport,0.8,ok,0.07764858745544251,-2.7618668592484,3.9853056241469647,-2.8,
power,multiscale_matern32_linear,1000,18,2,vector_transport,0.8,ok,0.04520171003285032,-2.7913188863020078,4.165945569600322,-2.8,
power,multiscale_matern32_linear,1000,19,2,vector_transport,0.8,ok,0.0694570220912267,-2.767067852812488,3.9869529576361185,-2.8,
power,multiscale_matern32_linear,1000,20,2,vector_transport,0.8,ok,0.16261228376673528,-2.6748234505891095,3.6600016563694355,-2.8,
