method,dataset,dataset_name,split,split_protocol,likelihood,status,error,n_observations,n_features,n_train,n_test,outer_split_seed,inner_split_seed,model_seed,batch_seed,validation_seed,test_seed,learning_rate,ess_multiplier,best_epoch,stopped_early,selection_seconds,refit_seconds,evaluation_seconds,total_seconds,y_center,y_scale,checkpoint,lpd_standardized,nll_standardized,lpd_original,nll_original,rmse_standardized,rmse_original,coverage_50,coverage_80,coverage_95,mean_total_variance_standardized,mean_epistemic_variance_standardized,mean_aleatoric_variance_standardized,mean_total_variance_original,mean_epistemic_variance_original,mean_aleatoric_variance_original
IVON,concrete,Concrete,19,repeated-holdout-v1,homoscedastic,success,,1030,8,927,103,20260744,21260744,20282628,20282638,20282648,20282658,0.1,100,470,false,1.336907148361206,1.4594180583953857,0.0022430419921875,2.7985682487487793,35.99161812297731,16.811875520059044,checkpoints/concrete_split19_homoscedastic.jld2,-0.9662657894250991,0.9662657894250991,-3.7883513023089996,3.7883513023089996,0.3010999008424654,5.062054007089376,0.9805825242718447,1.0,1.0,1.0046422337191718,0.004642233719171711,1.0,283.9512355339167,1.3120770319561188,282.6391585019605
IVON,concrete,Concrete,20,repeated-holdout-v1,homoscedastic,success,,1030,8,927,103,20260745,21260745,20282728,20282738,20282748,20282758,0.1,100,455,false,1.9392619132995605,1.4500370025634766,0.0014810562133789062,3.390779972076416,35.931423948220015,16.74358493964448,checkpoints/concrete_split20_homoscedastic.jld2,-0.9752025245689726,0.9752025245689726,-3.793217720803212,3.793217720803212,0.3281303274597285,5.494078063175789,0.9611650485436893,1.0,1.0,1.0055876266680503,0.005587626668050127,1.0,281.9141145618542,1.566477930764702,280.3476366310895
IVON,energy,Energy,1,repeated-holdout-v1,homoscedastic,success,,768,8,691,77,20260726,21260726,20290828,20290838,20290848,20290858,0.1,100,480,false,1.0706939697265625,1.09419584274292,0.001352071762084961,2.1662418842315674,22.41228654124456,10.06984293785844,checkpoints/energy_split01_homoscedastic.jld2,-0.9317408563647185,0.9317408563647185,-3.2412859659386424,3.2412859659386424,0.15069518387307765,1.5174768530812899,1.0,1.0,1.0,1.0029818642260622,0.002981864226062004,1.0,101.70410300454151,0.30236621140401193,101.40173679313749
IVON,energy,Energy,2,repeated-holdout-v1,homoscedastic,success,,768,8,691,77,20260727,21260727,20290928,20290938,20290948,20290958,0.1,100,485,false,1.0796771049499512,0.7880918979644775,0.0007801055908203125,1.868549108505249,22.376049204052094,10.11491417963313,checkpoints/energy_split02_homoscedastic.jld2,-0.9391024171187462,0.9391024171187462,-3.2531134032371263,3.2531134032371263,0.19677733322016322,1.9903858166285762,1.0,1.0,1.0,1.0016590404993229,0.0016590404993227384,1.0,102.48122776491034,0.16973890356697593,102.31148886134339
IVON,energy,Energy,3,repeated-holdout-v1,homoscedastic,success,,768,8,691,77,20260728,21260728,20291028,20291038,20291048,20291058,0.1,100,495,false,1.0485260486602783,1.0023770332336426,0.0010077953338623047,2.051910877227783,22.1096092619392,10.028594884346907,checkpoints/energy_split03_homoscedastic.jld2,-0.9511151065928443,0.9511151065928443,-3.256555607461552,3.256555607461552,0.25078418175144457,2.5150129870053557,0.974025974025974,1.0,1.0,1.0015167417754787,0.001516741775478782,1.0,100.72525819320022,0.15254283885127737,100.572715354349
IVON,energy,Energy,4,repeated-holdout-v1,homoscedastic,success,,768,8,691,77,20260729,21260729,20291128,20291138,20291148,20291158,0.1,100,500,false,1.100499153137207,1.612048864364624,0.00131988525390625,2.7138679027557373,22.212026049204038,10.014684100275248,checkpoints/energy_split04_homoscedastic.jld2,-0.9338848615911733,0.9338848615911733,-3.2379372875529877,3.2379372875529877,0.16387347521071968,1.6411410966666895,1.0,1.0,1.0,1.0031501496678432,0.0031501496678438003,1.0,100.60983841660642,0.31594078830056777,100.29389762830584
IVON,energy,Energy,5,repeated-holdout-v1,homoscedastic,success,,768,8,691,77,20260730,21260730,20291228,20291238,20291248,20291258,0.1,100,495,false,1.1911120414733887,1.2352619171142578,0.001024007797241211,2.4273979663848877,22.401997105643986,10.14222945533324,checkpoints/energy_split05_homoscedastic.jld2,-0.9281926437623145,0.9281926437623145,-3.244900485147925,3.244900485147925,0.12896721950369552,1.3080151301273415,1.0,1.0,1.0,1.001910839604845,0.0019108396048453163,1.0,103.06137649342911,0.19655816879991972,102.86481832462924
IVON,energy,Energy,6,repeated-holdout-v1,homoscedastic,success,,768,8,691,77,20260731,21260731,20291328,20291338,20291348,20291358,0.1,100,475,false,1.0892999172210693,0.8321080207824707,0.0009891986846923828,1.9223971366882324,22.674645441389284,10.17071915346912,checkpoints/energy_split06_homoscedastic.jld2,-1.3473040283831124,1.3473040283831124,-3.6668169491656544,3.6668169491656544,0.9255959953889689,9.413976938548197,0.2597402597402597,0.8961038961038961,1.0,1.000021153611533,2.1153611533920398e-5,1.0,103.44571630295275,0.0021882042090990033,103.44352809874361
IVON,energy,Energy,7,repeated-holdout-v1,homoscedastic,success,,768,8,691,77,20260732,21260732,20291428,20291438,20291448,20291458,0.1,100,500,false,1.074470043182373,1.000319004058838,0.0010030269622802734,2.075792074203491,22.267713458755413,10.04166622435009,checkpoints/energy_split07_homoscedastic.jld2,-0.9293618804665128,0.9293618804665128,-3.2361049395610975,3.2361049395610975,0.13471351037918106,1.3527481366446121,1.0,1.0,1.0,1.0027722112644313,0.002772211264431278,1.0,101.1145966519909,0.27953609073751673,100.83506056125334
IVON,energy,Energy,8,repeated-holdout-v1,homoscedastic,success,,768,8,691,77,20260733,21260733,20291528,20291538,20291548,20291558,0.1,100,500,false,1.3127210140228271,1.5469589233398438,0.0013129711151123047,2.860992908477783,22.256541244573064,10.138856182348189,checkpoints/energy_split08_homoscedastic.jld2,-0.9452784245020841,0.9452784245020841,-3.261653613772673,3.261653613772673,0.2270415010531865,2.3019411599263577,1.0,1.0,1.0,1.0011808572946168,0.001180857294616868,1.0,102.91779257067434,0.12138788433425227,102.79640468634005
