dataset,preprocessing,feature_dimension,split,depth,optimizer,beta,status,logpdf_standardized,logpdf,rmse,paper_dvi,error
yacht,multiscale_matern32_linear,1000,14,3,vector_transport,0.8,ok,2.6731640039891533,-0.04661927158702506,1.0271148598945898,-0.47,
yacht,multiscale_matern32_linear,1000,14,4,vector_transport,0.8,ok,2.673170769463987,-0.046612506112191365,1.0271194480234709,-0.47,
yacht,multiscale_matern32_linear,1000,14,5,vector_transport,0.8,ok,2.673170753386212,-0.04661252218996648,1.0271194361168827,-0.47,
yacht,multiscale_matern32_linear,1000,15,1,damped,0.0,ok,1.1406199746974184,-1.587311590361102,1.8660591851050123,-0.47,
yacht,multiscale_matern32_linear,1000,15,2,vector_transport,0.8,ok,1.943193411988826,-0.7847381530696944,1.3479099220729187,-0.47,
yacht,multiscale_matern32_linear,1000,15,3,vector_transport,0.8,ok,1.9435380343360453,-0.784393530722475,1.3489505757191977,-0.47,
yacht,multiscale_matern32_linear,1000,15,4,vector_transport,0.8,ok,1.9435387523840781,-0.7843928126744422,1.3489464449185917,-0.47,
yacht,multiscale_matern32_linear,1000,15,5,vector_transport,0.8,ok,1.9435387392546077,-0.7843928258039126,1.3489464487812528,-0.47,
yacht,multiscale_matern32_linear,1000,16,1,damped,0.0,ok,1.1211029535994645,-1.5477234761144152,1.7774287954786439,-0.47,
yacht,multiscale_matern32_linear,1000,16,2,vector_transport,0.8,ok,2.8417640023139246,0.17293757260004483,0.9081005867879745,-0.47,
yacht,multiscale_matern32_linear,1000,16,3,vector_transport,0.8,ok,2.8422051620108735,0.17337873229699374,0.9076214274649849,-0.47,
yacht,multiscale_matern32_linear,1000,16,4,vector_transport,0.8,ok,2.8422030402879557,0.17337661057407594,0.9076237285477115,-0.47,
yacht,multiscale_matern32_linear,1000,16,5,vector_transport,0.8,ok,2.84220304849485,0.17337661878097022,0.9076237193507911,-0.47,
yacht,multiscale_matern32_linear,1000,17,1,damped,0.0,ok,1.3649905521517385,-1.3700742815882945,1.2590382664515545,-0.47,
yacht,multiscale_matern32_linear,1000,17,2,vector_transport,0.8,ok,2.5067819616657356,-0.22828287207429732,0.6350384556646091,-0.47,
yacht,multiscale_matern32_linear,1000,17,3,vector_transport,0.8,ok,2.50750873387198,-0.2275560998680528,0.634551346814786,-0.47,
yacht,multiscale_matern32_linear,1000,17,4,vector_transport,0.8,ok,2.507505286657289,-0.22755954708274384,0.6345537922408379,-0.47,
yacht,multiscale_matern32_linear,1000,17,5,vector_transport,0.8,ok,2.507505296624245,-0.22755953711578814,0.6345537854301079,-0.47,
yacht,multiscale_matern32_linear,1000,18,1,damped,0.0,ok,1.5933263212808455,-1.1424998261671202,0.8009836000447427,-0.47,
yacht,multiscale_matern32_linear,1000,18,2,vector_transport,0.8,ok,2.5627495544113805,-0.17307659303658518,0.8100271659366333,-0.47,
yacht,multiscale_matern32_linear,1000,18,3,vector_transport,0.8,ok,2.5686282493103954,-0.16719789813757036,0.7908641978463701,-0.47,
yacht,multiscale_matern32_linear,1000,18,4,vector_transport,0.8,ok,2.5685924604864936,-0.16723368696147212,0.7909822232544078,-0.47,
yacht,multiscale_matern32_linear,1000,18,5,vector_transport,0.8,ok,2.568592551722595,-0.16723359572537078,0.7909819305875214,-0.47,
yacht,multiscale_matern32_linear,1000,19,1,damped,0.0,ok,1.491725595351617,-1.2586129357313127,0.8382435839110499,-0.47,
yacht,multiscale_matern32_linear,1000,19,2,vector_transport,0.8,ok,2.767609343320867,0.01727081223793725,0.7565387214169152,-0.47,
yacht,multiscale_matern32_linear,1000,19,3,vector_transport,0.8,ok,2.767572222526191,0.017233691443261367,0.7610246889220527,-0.47,
yacht,multiscale_matern32_linear,1000,19,4,vector_transport,0.8,ok,2.7675730306740127,0.01723449959108292,0.7609947994691967,-0.47,
yacht,multiscale_matern32_linear,1000,19,5,vector_transport,0.8,ok,2.7675730373460294,0.017234506263099636,0.760994866710987,-0.47,
yacht,multiscale_matern32_linear,1000,20,1,damped,0.0,ok,1.1215701177475756,-1.5660033667833517,1.6083989785058448,-0.47,
yacht,multiscale_matern32_linear,1000,20,2,vector_transport,0.8,ok,2.0246154418305253,-0.662958042700402,1.5308526586150122,-0.47,
yacht,multiscale_matern32_linear,1000,20,3,vector_transport,0.8,ok,2.0238939851732436,-0.6636794993576838,1.5308575704679868,-0.47,
yacht,multiscale_matern32_linear,1000,20,4,vector_transport,0.8,ok,2.023897828176717,-0.6636756563542106,1.5308579650394067,-0.47,
yacht,multiscale_matern32_linear,1000,20,5,vector_transport,0.8,ok,2.0238978160390375,-0.6636756684918899,1.5308579630500243,-0.47,
housing,multiscale_matern32_linear,1000,1,1,damped,0.0,ok,-0.6343198440176712,-2.8393888668009817,3.7543181399380883,-2.41,
housing,multiscale_matern32_linear,1000,1,2,vector_transport,0.8,ok,-0.6622167285722552,-2.8672857513555656,3.3501566060858026,-2.41,
housing,multiscale_matern32_linear,1000,1,3,vector_transport,0.8,ok,-0.6641095042804516,-2.8691785270637618,3.3507689337913673,-2.41,
housing,multiscale_matern32_linear,1000,1,4,vector_transport,0.8,ok,-0.664100643168768,-2.8691696659520782,3.350763560493638,-2.41,
housing,multiscale_matern32_linear,1000,1,5,vector_transport,0.8,ok,-0.6641006605618944,-2.8691696833452047,3.3507635760651135,-2.41,
housing,multiscale_matern32_linear,1000,2,1,damped,0.0,ok,-0.3452769628660859,-2.5721347547789595,3.301932103357802,-2.41,
housing,multiscale_matern32_linear,1000,2,2,vector_transport,0.8,ok,-0.31087150343223663,-2.5377292953451103,3.2216325236371484,-2.41,
housing,multiscale_matern32_linear,1000,2,3,vector_transport,0.8,ok,-0.31257307635404297,-2.539430868266917,3.2295885585712383,-2.41,
housing,multiscale_matern32_linear,1000,2,4,vector_transport,0.8,ok,-0.3125662141751359,-2.5394240060880096,3.229555016138205,-2.41,
housing,multiscale_matern32_linear,1000,2,5,vector_transport,0.8,ok,-0.3125662276213839,-2.5394240195342577,3.229555088638122,-2.41,
housing,multiscale_matern32_linear,1000,3,1,damped,0.0,ok,-0.3608890120177338,-2.5725733405178537,3.6450439292727137,-2.41,
housing,multiscale_matern32_linear,1000,3,2,vector_transport,0.8,ok,-0.352232278503366,-2.563916607003486,3.8800290520079037,-2.41,
housing,multiscale_matern32_linear,1000,3,3,vector_transport,0.8,ok,-0.3543204346964095,-2.5660047631965295,3.883132392175328,-2.41,
housing,multiscale_matern32_linear,1000,3,4,vector_transport,0.8,ok,-0.3543137931729866,-2.5659981216731067,3.883104551846124,-2.41,
housing,multiscale_matern32_linear,1000,3,5,vector_transport,0.8,ok,-0.3543137982152845,-2.5659981267154044,3.8831046464968186,-2.41,
housing,multiscale_matern32_linear,1000,4,1,damped,0.0,ok,-0.44206747620938397,-2.673740366018282,3.9633092317682186,-2.41,
housing,multiscale_matern32_linear,1000,4,2,vector_transport,0.8,ok,-0.4502652734330668,-2.6819381632419645,4.385099064333885,-2.41,
